State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,pct_production
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Arecanut,453.0,186.0,0.00010685452738606531
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Arhar/Tur,49932.0,9287.0,0.005335258042120369
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Bajra,1332.0,1227.0,0.0007048951887242051
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Brinjal,407.0,8624.0,0.00495437335579262
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cabbage,2.0,38.0,2.183049484231442e-05
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Castor seed,11416.0,5366.0,0.003082695666417347
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cotton(lint),37661.0,77316.0,0.044417014190220566
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cowpea(Lobia),527.0,253.0,0.0001453451367133039
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Dry chillies,2647.0,3965.0,0.002277839790783597
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Grapes,247.0,5644.0,0.003242402970790068
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Groundnut,711145.0,286591.0,0.16464271966720345
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Horse-gram,2317.0,1353.0,0.0007772805137276687
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Jowar,14486.0,9749.0,0.005600670900466402
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Lemon,391.0,2003.0,0.0011506968728725205
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Linseed,7.0,3.0,1.7234601191300856e-06
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Maize,27087.0,53226.0,0.030577629433605983
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Moong(Green Gram),481.0,534.0,0.0003067759012051553
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Onion,1414.0,31097.0,0.01786481310819609
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Other Kharif pulses,62.0,18.0,1.0340760714780514e-05
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Papaya,230.0,22418.0,0.012878842983552755
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Pome Granet,1450.0,23722.0,0.013627973648667965
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Ragi,2055.0,3163.0,0.001817101452269487
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Soyabean,2401.0,3866.0,0.0022209656068523037
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Sunflower,8109.0,6698.0,0.0038479119593111044
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Tomato,2991.0,88620.0,0.05091101191910273
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Turmeric,46.0,567.0,0.0003257339625155862
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Urad,48.0,45.0,2.585190178695129e-05
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Bajra,17.0,16.0,9.191787302027124e-06
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Brinjal,356.0,7543.0,0.004333353226199412
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Cabbage,11.0,207.0,0.0001189187482199759
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Castor seed,31.0,15.0,8.61730059565043e-06
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Coriander,1971.0,1234.0,0.0007089165956688419
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Cotton(lint),62.0,127.0,7.29598117098403e-05
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Cowpea(Lobia),32.0,26.0,1.4936654365794075e-05
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Dry chillies,27.0,54.0,3.102228214434154e-05
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Gram,85768.0,68614.0,0.03941783087133057
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Groundnut,17303.0,26335.0,0.015129107412430268
